Country Name,Country Code,Population2017
Aruba,ABW,105264
Afghanistan,AFG,35530081
Angola,AGO,29784193
Albania,ALB,2873457
Andorra,AND,76965
Arab World,ARB,414491886
United Arab Emirates,ARE,9400145
Argentina,ARG,44271041
Armenia,ARM,2930450
American Samoa,ASM,55641
Antigua and Barbuda,ATG,102012
Australia,AUS,24598933
Austria,AUT,8809212
Azerbaijan,AZE,9862429
Burundi,BDI,10864245
Belgium,BEL,11372068
Benin,BEN,11175692
Burkina Faso,BFA,19193382
Bangladesh,BGD,164669751
Bulgaria,BGR,7075991
Bahrain,BHR,1492584
"Bahamas, The",BHS,395361
Bosnia and Herzegovina,BIH,3507017
Belarus,BLR,9507875
Belize,BLZ,374681
Bermuda,BMU,65441
Bolivia,BOL,11051600
Brazil,BRA,209288278
Barbados,BRB,285719
Brunei Darussalam,BRN,428697
Bhutan,BTN,807610
Botswana,BWA,2291661
Central African Republic,CAF,4659080
Canada,CAN,36708083
Central Europe and the Baltics,CEB,102727102
Switzerland,CHE,8466017
Channel Islands,CHI,165314
Chile,CHL,18054726
China,CHN,1386395000
Cote d'Ivoire,CIV,24294750
Cameroon,CMR,24053727
"Congo, Dem. Rep.",COD,81339988
"Congo, Rep.",COG,5260750
Colombia,COL,49065615
Comoros,COM,813912
Cabo Verde,CPV,546388
Costa Rica,CRI,4905769
Caribbean small states,CSS,7284294
Cuba,CUB,11484636
Curacao,CUW,161014
Cayman Islands,CYM,61559
Cyprus,CYP,1179551
Czech Republic,CZE,10591323
Germany,DEU,82695000
Djibouti,DJI,956985
Dominica,DMA,73925
Denmark,DNK,5769603
Dominican Republic,DOM,10766998
Algeria,DZA,41318142
East Asia & Pacific (excluding high income),EAP,2068308373
Early-demographic dividend,EAR,3213426923
East Asia & Pacific,EAS,2314364990
Europe & Central Asia (excluding high income),ECA,415546194
Europe & Central Asia,ECS,915545801
Ecuador,ECU,16624858
"Egypt, Arab Rep.",EGY,97553151
Euro area,EMU,341465149
Eritrea,ERI,
Spain,ESP,46572028
Estonia,EST,1315480
Ethiopia,ETH,104957438
European Union,EUU,512461290
Fragile and conflict affected situations,FCS,511336623
Finland,FIN,5511303
Fiji,FJI,905502
France,FRA,67118648
Faroe Islands,FRO,49290
"Micronesia, Fed. Sts.",FSM,105544
Gabon,GAB,2025137
United Kingdom,GBR,66022273
Georgia,GEO,3717100
Ghana,GHA,28833629
Gibraltar,GIB,34571
Guinea,GIN,12717176
"Gambia, The",GMB,2100568
Guinea-Bissau,GNB,1861283
Equatorial Guinea,GNQ,1267689
Greece,GRC,10760421
Grenada,GRD,107825
Greenland,GRL,56171
Guatemala,GTM,16913503
Guam,GUM,164229
Guyana,GUY,777859
High income,HIC,1249066228
"Hong Kong SAR, China",HKG,7391700
Honduras,HND,9265067
Heavily indebted poor countries (HIPC),HPC,765112280
Croatia,HRV,4125700
Haiti,HTI,10981229
Hungary,HUN,9781127
IBRD only,IBD,4743263932
IDA & IBRD total,IBT,6353204601
IDA total,IDA,1609940669
IDA blend,IDB,533023458
Indonesia,IDN,263991379
IDA only,IDX,1076917211
Isle of Man,IMN,84287
India,IND,1339180127
Not classified,INX,
Ireland,IRL,4813608
"Iran, Islamic Rep.",IRN,81162788
Iraq,IRQ,38274618
Iceland,ISL,341284
Israel,ISR,8712400
Italy,ITA,60551416
Jamaica,JAM,2890299
Jordan,JOR,9702353
Japan,JPN,126785797
Kazakhstan,KAZ,18037646
Kenya,KEN,49699862
Kyrgyz Republic,KGZ,6201500
Cambodia,KHM,16005373
Kiribati,KIR,116398
St. Kitts and Nevis,KNA,55345
"Korea, Rep.",KOR,51466201
Kuwait,KWT,4136528
Latin America & Caribbean (excluding high income),LAC,568136842
Lao PDR,LAO,6858160
Lebanon,LBN,6082357
Liberia,LBR,4731906
Libya,LBY,6374616
St. Lucia,LCA,178844
Latin America & Caribbean,LCN,644137666
Least developed countries: UN classification,LDC,1002485957
Low income,LIC,732448558
Liechtenstein,LIE,37922
Sri Lanka,LKA,21444000
Lower middle income,LMC,2972642807
Low & middle income,LMY,6281293921
Lesotho,LSO,2233339
Late-demographic dividend,LTE,2278227192
Lithuania,LTU,2827721
Luxembourg,LUX,599449
Latvia,LVA,1940740
"Macao SAR, China",MAC,622567
St. Martin (French part),MAF,32125
Morocco,MAR,35739580
Monaco,MCO,38695
Moldova,MDA,3549750
Madagascar,MDG,25570895
Maldives,MDV,436330
Middle East & North Africa,MEA,444322417
Mexico,MEX,129163276
Marshall Islands,MHL,53127
Middle income,MIC,5548845363
"Macedonia, FYR",MKD,2083160
Mali,MLI,18541980
Malta,MLT,465292
Myanmar,MMR,53370609
Middle East & North Africa (excluding high income),MNA,379901782
Montenegro,MNE,622471
Mongolia,MNG,3075647
Northern Mariana Islands,MNP,55144
Mozambique,MOZ,29668834
Mauritania,MRT,4420184
Mauritius,MUS,1264613
Malawi,MWI,18622104
Malaysia,MYS,31624264
North America,NAC,362492702
Namibia,NAM,2533794
New Caledonia,NCL,280460
Niger,NER,21477348
Nigeria,NGA,190886311
Nicaragua,NIC,6217581
Netherlands,NLD,17132854
Norway,NOR,5282223
Nepal,NPL,29304998
Nauru,NRU,13649
New Zealand,NZL,4793900
OECD members,OED,1300865255
Oman,OMN,4636262
Other small states,OSS,30621014
